# file...... load_l671_freq.csv
# date...... Thu Nov 10 12:44:04 2016
# user...... jingkungao
# host...... (null)
# target.... load 63
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,GFA_status,measured_frequency,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2000-01-01 00:00:01.550000 EST,TRUE,+59.9556863404,+2240.17750807,-542.690233423,-1674.24795002,-1998.99699522,-668.998171678,+2233.44181499
2000-01-01 00:00:01.560000 EST,TRUE,+59.9562864179,+2238.70861912,-548.681830204,-1679.5862221,-1994.50470951,-663.016143432,+2235.21577618
2000-01-01 00:00:01.570000 EST,TRUE,+59.9568713157,+2237.23487122,-554.625387439,-1684.87335961,-1990.03156162,-657.073589512,+2236.96099792
2000-01-01 00:00:01.580000 EST,TRUE,+59.9574403257,+2235.75697336,-560.520098504,-1690.10889409,-1985.57863846,-651.171571272,+2238.67769204
2000-01-01 00:00:01.590000 EST,TRUE,+59.9579929506,+2234.27542202,-566.365279825,-1695.29238294,-1981.14679883,-645.310940484,+2240.3659411
2000-01-01 00:00:01.600000 EST,TRUE,+59.9585288552,+2232.79060685,-572.160340334,-1700.42342783,-1976.73676992,-639.492416728,+2242.02577855
2000-01-01 00:00:01.610000 EST,FALSE,+59.9590478773,+2372.83923514,-483.160692852,-1651.04980557,-2129.61340461,-796.491187795,+2320.95869621
2000-01-01 00:00:01.620000 EST,FALSE,+60.0450954229,+2352.10391058,-470.835441961,-1628.69496807,-2120.76227657,-797.515823785,+2295.76430132
2000-01-01 00:00:01.630000 EST,FALSE,+60.05582332,+2328.55364637,-451.137748057,-1597.5603788,-2113.70057884,-803.682020775,+2264.13419125
2000-01-01 00:00:01.640000 EST,FALSE,+60.0704040736,+2329.45591202,-422.195364625,-1568.98156255,-2130.06841515,-829.602183474,+2249.89471435
2000-01-01 00:00:01.650000 EST,FALSE,+60.0925133486,+2351.08004268,-385.915009001,-1543.20948927,-2165.89837719,-871.82370292,+2250.69978975
2000-01-01 00:00:01.660000 EST,FALSE,+60.1200448776,+2373.63449034,-347.54663368,-1515.93666967,-2203.38501463,-916.325568987,+2251.30813387
2000-01-01 00:00:01.670000 EST,FALSE,+60.1475489376,+2382.24908377,-311.409799722,-1484.05367005,-2228.9615513,-952.191795356,+2240.40770028
2000-01-01 00:00:01.680000 EST,FALSE,+60.1712711032,+2378.42175382,-277.309682314,-1447.96756972,-2243.89928881,-980.289969662,+2219.23531558
2000-01-01 00:00:01.690000 EST,FALSE,+60.1916719734,+2373.67452343,-241.649418992,-1409.80033601,-2258.84051494,-1009.29308687,+2196.42532816
2000-01-01 00:00:01.700000 EST,FALSE,+60.2117104675,+2376.31242889,-201.410599043,-1370.76086539,-2281.5966996,-1045.82587325,+2178.0051771
2000-01-01 00:00:01.710000 EST,FALSE,+60.2335207548,+2385.05251885,-156.745303572,-1330.43695973,-2311.05379529,-1089.14266233,+2162.90391176
2000-01-01 00:00:01.720000 EST,FALSE,+60.2566962629,+2393.07626441,-110.146269789,-1287.87506473,-2340.73829757,-1133.78726217,+2146.19114426
2000-01-01 00:00:01.730000 EST,FALSE,+60.279326844,+2395.69862053,-63.723468417,-1242.73011578,-2366.01714859,-1175.65018405,+2124.66740828
2000-01-01 00:00:01.740000 EST,FALSE,+60.3000511981,+2393.73293644,-17.4893570986,-1195.38203382,-2387.49884184,-1215.10315819,+2099.07526563
2000-01-01 00:00:01.750000 EST,FALSE,+60.3189655707,+2390.96492381,+30.0340569898,-1146.32618994,-2408.78102294,-1255.26176201,+2072.12049966
2000-01-01 00:00:01.760000 EST,FALSE,+60.3369942121,+2389.81231158,+79.9970075973,-1095.72390851,-2432.23974554,-1298.29988831,+2045.43610664
2000-01-01 00:00:01.770000 EST,FALSE,+60.354747241,+2389.55703638,+132.144518804,-1043.48591293,-2457.17660235,-1343.64911848,+2018.50481043
2000-01-01 00:00:01.780000 EST,FALSE,+60.3720083741,+2387.9087837,+185.287770253,-989.576216503,-2481.25414911,-1389.16038151,+1989.8390992
2000-01-01 00:00:01.790000 EST,FALSE,+60.3881242301,+2383.46795844,+238.516252968,-934.124233642,-2502.95696841,-1433.35492125,+1958.61897985
