# file...... Gen_1_Speed.csv
# date...... Thu Nov 10 12:44:04 2016
# user...... jingkungao
# host...... (null)
# target.... diesel_dg 0
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,rotor_speed,rotor_angle,flux1d,flux2q,EpRotated,VintRotated,Eint_A,Eint_B,Eint_C,Irotated,pwr_electric.real,pwr_electric.imag,pwr_mech,torque_mech,torque_elec
2000-01-01 00:00:01.190000 EST,+376.738000589,+0.3657991675,+0.95095249739,-0.373889331311,+0.313395779962+0.978187791424j,+0.358237037046+0.968962933767j,+2478.63683859+28.9338531233j,-1214.26096746-2161.02939554j,-1264.37587113+2132.09554241j,+0.440671584524+0.386345480219j,+3706749.3562,+1744966.91988,+3714547.3522,+9859.76287602,+9882.39507955
2000-01-01 00:00:01.200000 EST,+376.734004161,+0.363247101347,+0.950907363986,-0.374030255739,+0.313539374737+0.978158826571j,+0.358375082877+0.968928492469j,+2478.74305166+22.2691347054j,-1220.08588946-2157.78901955j,-1258.65716221+2135.51988484j,+0.440722410928+0.386284895028j,+3706751.61998,+1744971.27649,+3715250.07702,+9861.73277693,+9882.52781928
2000-01-01 00:00:01.210000 EST,+376.730340809,+0.360656764579,+0.950864439067,-0.374167149368,+0.31367887939+0.978119629429j,+0.358509176569+0.968888032694j,+2478.8151272+15.5129752239j,-1225.97293297-2154.47335905j,-1252.84219423+2138.96038382j,+0.440775697768+0.386225835166j,+3706758.91817,+1744967.05486,+3715929.24374,+9863.63146584,+9882.63758467
2000-01-01 00:00:01.220000 EST,+376.727002932,+0.358031446095,+0.950818199122,-0.374300116352,+0.313814406455+0.978069235042j,+0.358639419751+0.968839045456j,+2478.84673635+8.67136192448j,-1231.91374847-2151.07992673j,-1246.93298789+2142.40856481j,+0.440834628587+0.386168189883j,+3706759.67544,+1744972.48002,+3716581.60872,+9865.45052463,+9882.71427891
2000-01-01 00:00:01.230000 EST,+376.723979605,+0.35537435649,+0.950768305942,-0.37442926418,+0.313946065594+0.978017445252j,+0.358765926158+0.968787898066j,+2478.85158525+1.75753830718j,-1237.9037198-2147.62721419j,-1240.94786545+2145.86967588j,+0.440895004216+0.386112014594j,+3706751.50701,+1744991.35023,+3717202.10508,+9867.17678281,+9882.77236572
2000-01-01 00:00:01.240000 EST,+376.721254564,+0.352688570054,+0.950718378274,-0.374554706154,+0.314073965213+0.977972933705j,+0.358888812495+0.968741552027j,+2478.84485606-5.21525123748j,-1243.93896809-2144.13499177j,-1234.90588797+2149.350243j,+0.440951193462+0.386057397534j,+3706740.63795,+1745013.924,+3717789.79287,+9868.80816474,+9882.83111307
2000-01-01 00:00:01.250000 EST,+376.718809993,+0.349976980226,+0.950671603443,-0.374676554493,+0.314198212044+0.977935858582j,+0.359008186424+0.968701191519j,+2478.82883956-12.2391101763j,-1250.01380011-2140.60919161j,-1228.81503945+2152.84830178j,+0.441001604846+0.386004335484j,+3706733.83039,+1745029.59508,+3718348.41826,+9870.35507553,+9882.89637106
2000-01-01 00:00:01.260000 EST,+376.716631024,+0.347242308739,+0.950628025507,-0.374794913277,+0.314318909701+0.977900230158j,+0.359124143385+0.968662870518j,+2478.79432389-19.3107581084j,-1256.12076903-2137.04347619j,-1222.67355485+2156.3542343j,+0.441048950219+0.385952727533j,+3706732.21118,+1745036.60211,+3718882.63394,+9871.83025033,+9882.95964982
2000-01-01 00:00:01.270000 EST,+376.714706336,+0.344487145421,+0.950585429425,-0.374909882268,+0.314436159483+0.977861051899j,+0.359236774072+0.968622534609j,+2478.73188146-26.427220881j,-1262.25258536-2133.43116807j,-1216.4792961+2159.85838896j,+0.441096602534+0.385902448403j,+3706733.36438,+1745040.32384,+3719394.88666,+9873.24047641,+9883.01009168
2000-01-01 00:00:01.280000 EST,+376.713027263,+0.341713989984,+0.950541972443,-0.375021546531,+0.314550055656+0.977818464426j,+0.359346168101+0.968579652625j,+2478.64007897-33.5828101224j,-1268.40360618-2129.77387016j,-1210.23647279+2163.35668029j,+0.441145431127+0.385853465829j,+3706730.2581,+1745048.43242,+3719883.90389,+9874.58259917,+9883.04550956
