# file...... triplex_main_power.csv
# date...... Thu Nov 10 12:44:04 2016
# user...... jingkungao
# host...... (null)
# target.... triplex_meter 28
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_power
2000-01-01 00:00:02.120000 EST,+7.34250111623e-10+159.564538274d
2000-01-01 00:00:02.130000 EST,+7.34264565357e-10+160.933473162d
2000-01-01 00:00:02.140000 EST,+1.46855600384e-09+162.293852945d
2000-01-01 00:00:02.150000 EST,+9.10775006663e-10+156.520385079d
2000-01-01 00:00:02.160000 EST,+9.10789496475e-10+157.862866221d
2000-01-01 00:00:02.170000 EST,+2.47765456651e-09+33.1686898736d
2000-01-01 00:00:02.180000 EST,+1.15210429019e-09-91.0452876115d
2000-01-01 00:00:02.190000 EST,+1.46867335982e-09+11.5786415739d
2000-01-01 00:00:02.200000 EST,+1.22202810916e-09-133.427187651d
2000-01-01 00:00:02.210000 EST,+1.28814868545e-09+156.301805385d
2000-01-01 00:00:02.220000 EST,+9.1087090668e-10-104.28425096d
2000-01-01 00:00:02.230000 EST,+1.82176584808e-09+23.859154932d
2000-01-01 00:00:02.240000 EST,+4.07364511141e-10+51.6872597652d
2000-01-01 00:00:02.250000 EST,+9.10906207828e-10-153.625304543d
2000-01-01 00:00:02.260000 EST,+4.07374564045e-10+144.181567644d
2000-01-01 00:00:02.270000 EST,+9.10927787412e-10+171.977689789d
2000-01-01 00:00:02.280000 EST,+2.96579931823e-09-107.421715061d
2000-01-01 00:00:02.290000 EST,+2.19385330048e-09-10.3563320157d
2000-01-01 00:00:02.300000 EST,+9.10957735893e-10-147.52435613d
2000-01-01 00:00:02.310000 EST,+9.10967178908e-10+176.793206436d
2000-01-01 00:00:02.320000 EST,+5.76151998259e-10-73.5953947047d
2000-01-01 00:00:02.330000 EST,+5.78010024793e-26-116.565051177d
2000-01-01 00:00:02.340000 EST,+5.76162970295e-10+108.724388202d
2000-01-01 00:00:02.350000 EST,+4.0741245868e-10-115.132301031d
2000-01-01 00:00:02.360000 EST,+8.14832142574e-10+65.9999531489d
2000-01-01 00:00:02.370000 EST,+9.11017864666e-10+130.556106132d
2000-01-01 00:00:02.380000 EST,+4.07422968731e-10-111.768675649d
2000-01-01 00:00:02.390000 EST,+1.22227876982e-09+159.330474366d
2000-01-01 00:00:02.400000 EST,+2.0371472327e-09+160.418633507d
2000-01-01 00:00:02.410000 EST,+2.60884120511e-09-159.84435821d
2000-01-01 00:00:02.420000 EST,+6.11153323781e-10-107.437888909d
2000-01-01 00:00:02.430000 EST,+8.14876940188e-10-16.3824914178d
2000-01-01 00:00:02.440000 EST,+9.11066450459e-10+11.2271234914d
2000-01-01 00:00:02.450000 EST,+6.11166076469e-10+75.6958534336d
2000-01-01 00:00:02.460000 EST,+1.30446597781e-09-141.940900901d
2000-01-01 00:00:02.470000 EST,+1.09709083659e-09-124.070116093d
2000-01-01 00:00:02.480000 EST,+7.34544219336e-10-134.956993045d
2000-01-01 00:00:02.490000 EST,+1.36664314715e-09-36.8407342403d
2000-01-01 00:00:02.500000 EST,+9.11100728856e-10-162.729858526d
2000-01-01 00:00:02.510000 EST,+1.01864733035e-09+28.5453647656d
2000-01-01 00:00:02.520000 EST,+1.23924475161e-09+2.09784497202d
2000-01-01 00:00:02.530000 EST,+3.48136823384e-09-26.9707100733d
2000-01-01 00:00:02.540000 EST,+1.92201062025e-09-153.469632251d
2000-01-01 00:00:02.550000 EST,+6.11201219857e-10-94.5454465924d
2000-01-01 00:00:02.560000 EST,+2.47853998506e-09-13.0881959756d
2000-01-01 00:00:02.570000 EST,+1.7076162882e-09-165.362185992d
2000-01-01 00:00:02.580000 EST,+2.57708716897e-09-163.381420296d
2000-01-01 00:00:02.590000 EST,+2.44485044862e-09-0.926259646383d
2000-01-01 00:00:02.600000 EST,+7.13084466083e-10-90.0457912312d
2000-01-01 00:00:02.610000 EST,+1.63309452153e-09-175.598537267d
2000-01-01 00:00:02.620000 EST,+1.08289351605e-09-39.4993326837d
2000-01-01 00:00:02.630000 EST,+2.447012332e-09+4.92463953168d
2000-01-01 00:00:02.640000 EST,+6.11225088074e-10-86.6184673418d
2000-01-01 00:00:02.650000 EST,+2.44544000259e-09-174.591310621d
2000-01-01 00:00:02.660000 EST,+1.63709273986e-09+179.683969d
2000-01-01 00:00:02.670000 EST,+4.58423803276e-10+95.8554121267d
2000-01-01 00:00:02.680000 EST,+2.03744608911e-10+96.6621518611d
2000-01-01 00:00:02.690000 EST,+1.15255738136e-09-37.5398887387d
2000-01-01 00:00:02.700000 EST,+8.37068727238e-10+21.4399993254d
2000-01-01 00:00:02.710000 EST,+1.40075772966e-10+99.0300823861d
2000-01-01 00:00:02.720000 EST,+2.22686832847e-10+99.8022911543d
2000-01-01 00:00:02.730000 EST,+2.4797536504e-09+0.958677787246d
2000-01-01 00:00:02.740000 EST,+2.44766524442e-09+8.63787288711d
2000-01-01 00:00:02.750000 EST,+3.82029277867e-10+102.068993184d
2000-01-01 00:00:02.760000 EST,+8.21340484498e-10+19.9332635598d
2000-01-01 00:00:02.770000 EST,+2.44553092268e-09-165.267002407d
2000-01-01 00:00:02.780000 EST,+1.52812912451e-10-75.7371261906d
2000-01-01 00:00:02.790000 EST,+5.09377632367e-11+104.978441536d
2000-01-01 00:00:02.800000 EST,+2.47874448095e-09-173.776013851d
2000-01-01 00:00:02.810000 EST,+2.47088700341e-09+8.08942586633d
2000-01-01 00:00:02.820000 EST,+8.70430955852e-10-3.47672017213d
2000-01-01 00:00:02.830000 EST,+2.45351007853e-09+13.0010248443d
2000-01-01 00:00:02.840000 EST,+8.21356033361e-10-168.682326078d
2000-01-01 00:00:02.850000 EST,+1.01876887916e-10+109.113490619d
2000-01-01 00:00:02.860000 EST,+8.15016736203e-10-160.222838696d
2000-01-01 00:00:02.870000 EST,+1.65844212837e-09-148.946549352d
2000-01-01 00:00:02.880000 EST,+3.05632446938e-10-68.9165148308d
2000-01-01 00:00:02.890000 EST,+1.01877668824e-10-68.2736776931d
2000-01-01 00:00:02.900000 EST,+4.91659589884e-09-163.584465413d
2000-01-01 00:00:02.910000 EST,+1.630048406e-09+22.9918012433d
2000-01-01 00:00:02.920000 EST,+2.45355185855e-09-151.621735925d
2000-01-01 00:00:02.930000 EST,+0+0d
2000-01-01 00:00:02.940000 EST,+2.58493941423e-26+180d
2000-01-01 00:00:02.950000 EST,+9.11230586828e-10+52.0095224469d
2000-01-01 00:00:02.960000 EST,+2.44509186185e-09+26.0418385206d
2000-01-01 00:00:02.970000 EST,+8.15031790713e-10-153.366943043d
2000-01-01 00:00:02.980000 EST,+4.55617256285e-10-126.216738161d
2000-01-01 00:00:02.990000 EST,+7.34661742745e-10+151.48745033d
2000-01-01 00:00:03.000000 EST,+7.34662704386e-10+84.6805881076d
2000-01-01 00:00:03.010000 EST,+6.11277095159e-10+118.938110468d
2000-01-01 00:00:03.020000 EST,+1.68024208701e-09-136.463928843d
2000-01-01 00:00:03.030000 EST,+2.03759525375e-10+120.055886733d
2000-01-01 00:00:03.040000 EST,+2.03759760882e-09-149.393633912d
2000-01-01 00:00:03.050000 EST,+1.15264056033e-09+166.151343289d
2000-01-01 00:00:03.060000 EST,+4.07520420574e-10+31.6908949121d
2000-01-01 00:00:03.070000 EST,+2.88160755916e-09-155.905005777d
2000-01-01 00:00:03.080000 EST,+8.15042528755e-10-57.2459770606d
2000-01-01 00:00:03.090000 EST,+2.44512999954e-09+33.2777476963d
2000-01-01 00:00:03.100000 EST,+9.11247019909e-10-82.7687075972d
2000-01-01 00:00:03.110000 EST,+1.28869908729e-09-164.125066459d
2000-01-01 00:00:03.120000 EST,+7.34672173438e-10+158.508502386d
2000-01-01 00:00:03.130000 EST,+2.03761576233e-10+125.322070923d
2000-01-01 00:00:03.140000 EST,+5.76325253412e-10-9.17914054628d
2000-01-01 00:00:03.150000 EST,+4.55625488976e-10-170.250182778d
2000-01-01 00:00:03.160000 EST,+1.63009658784e-09-143.195835241d
2000-01-01 00:00:03.170000 EST,+1.8225047779e-09-116.146134235d
2000-01-01 00:00:03.180000 EST,+1.74094652706e-09-162.787162217d
